K,Test_Size,Accuracy,Confusion_Matrix
2,0.4,0.9167857142857143,"[[1596    0    3    3    2    5    7    0    0    1]
 [   1 1863    3    0    0    1    0    0    2    1]
 [  27   28 1596   22    7    2    9   12    7    3]
 [   8   11   56 1679    2   22    1    9   11    4]
 [   2   35   20    3 1535    3    4   12    2   26]
 [  13    5    6  100    9 1340   19    7    5    2]
 [  42    4   16    1    6   24 1518    0    1    0]
 [   3   29   19   17   31    1    0 1616    1   35]
 [  18   25   32   71   29  105    6   11 1275   16]
 [  10   12    9   25   95   13    0  137   11 1384]]"
4,0.4,0.9288095238095239,"[[1587    0    2    4    0    6   13    2    1    2]
 [   1 1860    3    0    0    1    3    1    1    1]
 [  18   30 1593   21    9    1   12   15    9    5]
 [   5   10   29 1682    1   27    2   18   19   10]
 [   1   34   14    4 1525    6    4    8    2   44]
 [  14    6    5   77    7 1351   25    6    7    8]
 [  29    4   12    3    5   13 1545    0    1    0]
 [   1   29   11    8   27    0    0 1619    1   56]
 [  14   22   18   41   20   76    4    8 1362   23]
 [  13    6    8   20   59    6    0   92   12 1480]]"
5,0.4,0.9298214285714286,"[[1582    2    3    3    0    8   13    2    2    2]
 [   0 1857    3    0    0    1    4    1    2    3]
 [  16   28 1577   32   11    1   13   16   13    6]
 [   5   10   25 1681    2   33    3   18   18    8]
 [   1   32   13    4 1513    5    3    7    4   60]
 [  11    7    4   65    8 1358   31    5    8    9]
 [  24    3   12    2    6   15 1550    0    0    0]
 [   2   28    8    6   30    0    0 1601    1   76]
 [  13   19   18   38   17   64    5    9 1382   23]
 [  11    7    8   19   45    6    0   68   12 1520]]"
6,0.4,0.9272619047619047,"[[1584    0    3    3    0    8   14    2    1    2]
 [   0 1858    2    0    0    1    4    2    2    2]
 [  22   29 1576   30    8    1   14   15   11    7]
 [   7    9   29 1676    2   30    3   17   22    8]
 [   1   35   15    4 1513    8    4    5    3   54]
 [  12    9    3   70    8 1360   28    4    6    6]
 [  31    3   12    3    5   14 1542    0    2    0]
 [   1   35    7    7   26    0    0 1609    1   66]
 [  16   22   16   43   20   72    7    8 1362   22]
 [  11    9    7   24   50    4    0   83   10 1498]]"
7,0.4,0.9273809523809524,"[[1580    2    3    4    1    7   14    2    2    2]
 [   0 1856    2    0    0    1    6    1    2    3]
 [  17   32 1567   35   12    1   14   17   13    5]
 [   6   10   18 1683    2   30    3   19   23    9]
 [   1   31   14    5 1504    8    6    6    3   64]
 [   9   11    3   62    8 1360   31    4    9    9]
 [  20    3   10    2    6   17 1552    0    2    0]
 [   1   33    7    7   24    0    0 1597    1   82]
 [  15   22   17   42   17   71    5    9 1366   24]
 [  12   10    6   23   43    6    0   73    8 1515]]"
10,0.4,0.925,"[[1585    1    2    3    2    7   13    3    1    0]
 [   0 1856    2    0    0    2    6    1    1    3]
 [  18   39 1563   31   12    0   15   16   12    7]
 [   3   14   24 1669    2   28    3   21   29   10]
 [   1   36   16    3 1498   12    7    5    1   63]
 [  10   11    4   58    8 1360   34    3    7   11]
 [  28    3    8    3    4   18 1545    0    3    0]
 [   1   36    7    4   24    0    0 1600    1   79]
 [  18   26   14   40   18   72    8    9 1360   23]
 [  10   12    7   24   42    5    0   81   11 1504]]"
2,0.3,0.921031746031746,"[[1217    0    2    4    1    4    7    0    0    1]
 [   0 1363    3    0    0    1    1    1    1    0]
 [  15   20 1171   18    6    2    5    8    5    2]
 [   4    6   37 1283    1   18    1    8    8    3]
 [   1   21   17    4 1132    3    3   10    2   22]
 [   7    4    3   72    6 1016   12    6    3    3]
 [  31    2   11    1    5   15 1151    0    0    0]
 [   3   21   13   10   19    1    0 1229    1   29]
 [  12   14   18   51   19   83    4    6  980   10]
 [   9    7    7   18   66    9    0   99    9 1063]]"
4,0.3,0.9315079365079365,"[[1214    0    2    1    0    5   10    2    0    2]
 [   0 1361    3    0    0    1    2    1    1    1]
 [  10   17 1165   18    5    1    8   13    8    7]
 [   2    7   23 1280    0   17    2   16   16    6]
 [   0   21   14    4 1128    3    3    7    0   35]
 [   7    3    2   52    7 1026   19    5    5    6]
 [  25    3    7    3    3    8 1165    0    2    0]
 [   1   19    9    6   17    0    0 1229    1   44]
 [   8   10   13   30   16   60    4    4 1037   15]
 [   9    5    6   14   44    4    0   64    9 1132]]"
5,0.3,0.932063492063492,"[[1207    0    3    3    0    6   12    2    1    2]
 [   0 1359    3    0    0    1    2    1    2    2]
 [   9   18 1162   21    5    0    9   12    9    7]
 [   2    6   19 1280    0   21    2   17   16    6]
 [   0   20   14    3 1122    2    2    6    2   44]
 [   8    6    2   44    6 1027   22    4    6    7]
 [  19    3    6    2    5   10 1171    0    0    0]
 [   1   20    9    5   17    0    0 1213    1   60]
 [   6    9   12   24   15   54    4    5 1051   17]
 [   9    4    6   15   30    6    0   55   10 1152]]"
6,0.3,0.9301587301587302,"[[1206    0    3    2    0    8   13    2    0    2]
 [   0 1361    2    0    1    1    2    1    1    1]
 [  10   20 1157   23    5    1   10   13    8    5]
 [   3    5   20 1280    0   22    2   17   15    5]
 [   0   21   14    3 1123    5    2    6    2   39]
 [   8    5    2   47    6 1031   18    4    5    6]
 [  22    3    8    3    4   10 1165    0    1    0]
 [   1   23    8    4   15    0    0 1220    1   54]
 [   9   11   11   27   16   56    4    4 1042   17]
 [  11    7    6   17   40    3    0   61    7 1135]]"
